N°Obs,incidence,global_incidence,Segment de marché,Niveau de prix
&otherstories,158,0,milieu de gamme,Moyen
aalto,0,0,luxe & création,
acne,204,0,luxe & création,
reebok,3000,1006381,milieu de gamme,Moyen-Haut
adidas,3000,11533365,milieu de gamme,Moyen-Haut
afvandevorst,0,0,luxe & création,
aganovich,0,0,luxe & création,
agnesb,57,0,luxe & création,Haut
aigle,552,0,milieu de gamme,Moyen-Haut
akris,0,0,luxe & création,
alainfigaret,0,0,premium / luxe abordable,Haut
alecadicekayek,0,0,luxe & création,
alexandermcqueen,3000,56411,luxe & création,
altuzzara,0,0,luxe & création,
americanvintage,15,0,milieu de gamme,Moyen-Haut
ami,198,0,luxe & création,
andre,3000,349102,entrée de gamme / mass market,Moyen
andrewgn,0,0,luxe & création,
anndemeulemeester,10,0,luxe & création,
antonelle,1,0,entrée de gamme / mass market,Moyen
apc-vanessaseward,0,0,premium / luxe abordable,Haut
apostrophe-georgesrech,0,0,premium / luxe abordable,Haut
arbell,0,0,entrée de gamme / mass market,Moyen
arena,71,0,milieu de gamme,Moyen-Haut
armandthiery,2,0,entrée de gamme / mass market,Moyen-Bas
armorlux,10,0,milieu de gamme,Moyen-Haut
arthur,1,0,milieu de gamme,Moyen-Haut
asos,2808,0,entrée de gamme / mass market,
atlein,0,0,luxe & création,
aubade,0,0,premium / luxe abordable,Haut
autourdumonde,0,0,milieu de gamme,Moyen-Haut
azzaro,130,0,luxe & création,
ba&sh,138,0,premium / luxe abordable,Haut de gamme
babou,38,0,ultra fast fashion / discount,Discount
labagagerie,0,0,premium / luxe abordable,Haut
balenciaga,3000,98818,luxe & création,Luxe
balibaris,11,0,premium / luxe abordable,Haut
balmain,343,0,luxe & création,
bananamoon,342,0,premium / luxe abordable,Haut
barbarabui,170,0,luxe & création,
bayard,0,0,milieu de gamme,Moyen-Haut
belair,0,0,entrée de gamme / mass market,Moyen
benetton,0,0,entrée de gamme / mass market,Moyen
berenice,80,0,milieu de gamme,Moyen-Haut
berluti,31,0,luxe & création,
bershka,3000,9604364,entrée de gamme / mass market,Bas
besson,936,0,entrée de gamme / mass market,Moyen-Bas
bestmountain,51,0,entrée de gamme / mass market,Moyen
bizzbee,79,0,entrée de gamme / mass market,Moyen-Bas
blackstore,0,0,milieu de gamme,Moyen-Haut
blancdunil,0,0,entrée de gamme / mass market,Moyen-Bas
bleucerise,0,0,entrée de gamme / mass market,Bas
bluebox,552,0,entrée de gamme / mass market,Moyen
bocage,864,0,milieu de gamme,Moyen-Haut
bonobo,600,0,entrée de gamme / mass market,Moyen-Bas
bonpoint,10,0,luxe & création,Luxe
boohoo,331,0,ultra fast fashion / discount,
borisbidjansaberi,0,0,luxe & création,
bottegaveneta,98,0,luxe & création,Luxe
breal,126,0,entrée de gamme / mass market,Moyen-Bas
brice,15,0,entrée de gamme / mass market,Moyen-Bas
brunellocucinelli,70,0,luxe & création,Luxe
brunosthilaire,0,0,milieu de gamme,Moyen-Haut
burberry,1008,0,luxe & création,Luxe
burtonoflondon,0,0,entrée de gamme / mass market,Moyen
c&a,208,0,entrée de gamme / mass market,Bas
cachecache,1152,0,entrée de gamme / mass market,Bas
cafecoton,4,0,milieu de gamme,Moyen-Haut
ateliercoton,0,0,milieu de gamme,Moyen-Haut
calvinklein,3000,1612119,milieu de gamme,Moyen-Haut
calzedonia,14,0,entrée de gamme / mass market,Moyen-Bas
camaieu,1440,0,entrée de gamme / mass market,Bas
carhartt,79,0,milieu de gamme,Moyen-Haut
caroll,205,0,milieu de gamme,Moyen-Haut
carven,84,0,luxe & création,
catimini,13,0,premium / luxe abordable,Haut
ccv,0,0,entrée de gamme / mass market,Moyen
celine,403,0,luxe & création,Luxe
celio,744,0,entrée de gamme / mass market,Moyen-Bas
cerruti1881,8,0,luxe & création,
chanel,792,0,luxe & création,Luxe
charl'ine,0,0,milieu de gamme,Moyen-Haut
chausport,0,0,entrée de gamme / mass market,Moyen-Bas
chaussexpo,0,0,entrée de gamme / mass market,Bas
chaussea,3000,234973,entrée de gamme / mass market,Bas
chevignon,139,0,entrée de gamme / mass market,Moyen
chloe,485,0,luxe & création,Luxe
christiandior,183,0,luxe & création,
diorhomme,0,0,luxe & création,Luxe
dior,2592,0,luxe & création,Luxe
christinelaure,30,0,milieu de gamme,Moyen-Haut
claudiepierlot,912,0,premium / luxe abordable,Haut
lacompagniedespetits,0,0,entrée de gamme / mass market,Moyen
compagniedespetits,0,0,entrée de gamme / mass market,Moyen
comptoirdescotonniers,600,0,milieu de gamme,Moyen-Haut
comptoirirlandais,0,0,milieu de gamme,Moyen-Haut
lecomptoirirlandais,0,0,milieu de gamme,Moyen-Haut
cop.copine,0,0,milieu de gamme,Moyen-Haut
lecoqsportif,3000,383713,milieu de gamme,Moyen-Haut
coqsportif,0,0,milieu de gamme,Moyen-Haut
cos,132,0,milieu de gamme,Moyen-Haut
cosmoparis,409,0,milieu de gamme,Moyen-Haut
cotelac-acote,0,0,milieu de gamme,Moyen-Haut
courreges,5,0,luxe & création,
cyrillus,55,0,entrée de gamme / mass market,Moyen
dalery,4,0,entrée de gamme / mass market,Moyen
damart,385,0,entrée de gamme / mass market,Moyen
darjeeling,2,0,entrée de gamme / mass market,Moyen
ddp,41,0,milieu de gamme,Moyen-Haut
decathlon,3000,3240013,entrée de gamme / mass market,Bas
decimas,395,0,entrée de gamme / mass market,Moyen
derhy,0,0,entrée de gamme / mass market,Moyen
despetitshauts,17,0,milieu de gamme,Moyen-Haut
desigual,1680,0,entrée de gamme / mass market,Moyen
devernois,6,0,milieu de gamme,Moyen-Haut
devianne,0,0,entrée de gamme / mass market,Moyen
devred,143,0,entrée de gamme / mass market,Moyen-Bas
diesel,3000,1007134,premium / luxe abordable,Haut
dim,22,0,entrée de gamme / mass market,Moyen-Bas
eres,2,0,luxe & création,Luxe
districenter,0,0,entrée de gamme / mass market,Bas
doredore1819,0,0,premium / luxe abordable,Haut
driesvannoten,29,0,luxe & création,
dupareilaumeme,50,0,entrée de gamme / mass market,Bas
dunhill,14,0,luxe & création,
edenpark,121,0,premium / luxe abordable,Haut
ekyog,0,0,milieu de gamme,Moyen-Haut
eliesaab,1,0,luxe & création,
ellery,0,0,luxe & création,
emanuelungaro,0,0,luxe & création,
eminence,0,0,entrée de gamme / mass market,Moyen-Bas
athena,0,0,entrée de gamme / mass market,Moyen-Bas
distribem,0,0,entrée de gamme / mass market,Moyen-Bas
enduranceshop,0,0,entrée de gamme / mass market,Moyen
giorgioarmani,2304,0,luxe & création,Luxe
ericbompard,0,0,premium / luxe abordable,Haut
escada,31,0,premium / luxe abordable,Haut
espacefoot,0,0,entrée de gamme / mass market,Moyen
esprit,3000,3039413,entrée de gamme / mass market,Moyen
etam,493,0,entrée de gamme / mass market,Moyen-Bas
etamlingerie,0,0,entrée de gamme / mass market,Moyen-Bas
etudes,0,0,luxe & création,
faconnable,69,0,premium / luxe abordable,Haut
fatherandsons,0,0,milieu de gamme,Moyen-Haut
feemaraboutee,0,0,entrée de gamme / mass market,Moyen
lafeemaraboutee,128,0,entrée de gamme / mass market,Moyen
fiestarevolution,0,0,milieu de gamme,Moyen-Haut
finsbury,20,0,premium / luxe abordable,Haut
footlocker,244,0,entrée de gamme / mass market,Moyen
formul,0,0,entrée de gamme / mass market,Moyen
francescosmalto,0,0,luxe & création,
freelance,113,0,premium / luxe abordable,Haut
furla,64,0,premium / luxe abordable,Haut
fusalp,21,0,premium / luxe abordable,Premium
gant,720,0,premium / luxe abordable,Haut
gap,64,0,entrée de gamme / mass market,Moyen
gemo,3000,4390341,entrée de gamme / mass market,Bas
geox,3000,541117,milieu de gamme,Moyen-Haut
gerarddarel,182,0,premium / luxe abordable,Haut
giambattistavalli,0,0,luxe & création,
gucci,3000,374606,luxe & création,Luxe
givenchy,1680,0,luxe & création,Luxe
gosport,223,0,entrée de gamme / mass market,Bas
graindemalice,122,0,entrée de gamme / mass market,Bas
gres,0,0,luxe & création,
g-starraw,696,0,milieu de gamme,Moyen-Haut
j.m.weston,41,0,luxe & création,Luxe
guess,3000,2917118,milieu de gamme,Moyen-Haut
guylaroche,1,0,luxe & création,
h&m,3000,36885936,entrée de gamme / mass market,Bas
haiderackermann,1,0,luxe & création,
halle,0,0,entrée de gamme / mass market,Bas
lahalle,3000,1341542,entrée de gamme / mass market,Bas
henrikvibskov,0,0,luxe & création,
hermes,343,0,luxe & création,Luxe
heyraud,84,0,milieu de gamme,Moyen-Haut
hollister,35,0,entrée de gamme / mass market,Moyen-Bas
hugoboss,2472,0,premium / luxe abordable,Haut
hunkemoller,2,0,entrée de gamme / mass market,Moyen-Bas
i.code,18,0,entrée de gamme / mass market,Moyen
ikks,1056,0,milieu de gamme,Moyen-Haut
indies,1,0,premium / luxe abordable,Haut
intersport,230,0,entrée de gamme / mass market,Moyen-Bas
intimissimi,1,0,entrée de gamme / mass market,Moyen-Bas
iro,184,0,premium / luxe abordable,Haut
isabelmarant,3000,179232,luxe & création,Premium Luxury
isseymiyake,4,0,luxe & création,
izac,97,0,entrée de gamme / mass market,Moyen
jimmychoo,1560,0,luxe & création,Luxe
jacadi,12,0,milieu de gamme,Moyen-Haut
jack&jones,2472,0,entrée de gamme / mass market,Bas
jacquemus,4,0,luxe & création,
janinerobin,0,0,milieu de gamme,Moyen-Haut
jd-size?,0,0,milieu de gamme,Moyen-Haut
jean-claudejitrois,0,0,luxe & création,
jennyfer,1752,0,entrée de gamme / mass market,Bas
joseph,3,0,luxe & création,Luxe
johngalliano,268,0,luxe & création,
johnribbe,0,0,luxe & création,
jonak,210,0,entrée de gamme / mass market,Moyen
loropiana,17,0,luxe & création,Luxe
jott,85,0,milieu de gamme,Moyen-Haut
jules,395,0,entrée de gamme / mass market,Moyen-Bas
junkoshimada,0,0,luxe & création,
juun.j,4,0,luxe & création,
kaporal,2376,0,entrée de gamme / mass market,Moyen
karlmarcjohn,149,0,entrée de gamme / mass market,Moyen
kenzo,3000,422077,premium / luxe abordable,Haut
khaan,171,0,entrée de gamme / mass market,Bas
kiabi,3000,17936022,entrée de gamme / mass market,Bas
kiwi,14,0,premium / luxe abordable,Haut
koche,4,0,luxe & création,
kookai,720,0,entrée de gamme / mass market,Moyen-Bas
lacoste,3000,2358163,premium / luxe abordable,Haut
eider,0,0,milieu de gamme,Moyen-Haut
millet,5,0,milieu de gamme,Moyen-Haut
lafuma,24,0,milieu de gamme,Moyen-Haut
lancel,0,0,premium / luxe abordable,Haut
lanvin,1704,0,luxe & création,
laurencetavernier,0,0,premium / luxe abordable,Haut
lebourget,1,0,premium / luxe abordable,Haut
lemaire,1,0,luxe & création,
leonard,0,0,luxe & création,Luxe
levi's,3000,5200278,milieu de gamme,Moyen-Haut
levis,0,0,milieu de gamme,Moyen-Haut
levi'sstore,0,0,milieu de gamme,Moyen-Haut
ligne's,0,0,entrée de gamme / mass market,Moyen
liujo,3000,539090,milieu de gamme,Moyen-Haut
livy,0,0,premium / luxe abordable,Haut
loavies,37,0,entrée de gamme / mass market,
loding,13,0,milieu de gamme,Moyen-Haut
loewe,55,0,luxe & création,
lole,0,0,entrée de gamme / mass market,Moyen
lollipops,212,0,milieu de gamme,Moyen-Haut
longchamp,188,0,premium / luxe abordable,Haut
louboutin,0,0,luxe & création,Luxe
louisvuitton,3000,364951,luxe & création,Luxe
lpbwoman,10,0,entrée de gamme / mass market,Moyen
